1	0.618003	0.618034
2	0.381997	0.381966
3	0.236007	0.236068
4	0.14599	0.145898
5	0.090017	0.0901699
6	0.0559728	0.0557281
7	0.0340442	0.0344419
8	0.0219286	0.0212862
9	0.0121155	0.0131556
10	0.00981311	0.00813062
11	0.00230242	0.005025
12	0.00751069	0.00310562
13	-0.00520827	0.00191938
14	0.012719	0.00118624
15	-0.0179272	0.000733137
16	0.0306462	0.000453104
17	-0.0485734	0.000280034
18	0.0792196	0.00017307
19	-0.127793	0.000106963
20	0.207013	6.6107e-05
21	-0.334805	4.08563e-05
22	0.541818	2.52506e-05
23	-0.876624	1.56057e-05
24	1.41844	9.64488e-06
25	-2.29507	5.96086e-06
26	3.71351	3.68401e-06
27	-6.00857	2.27685e-06
28	9.72208	1.40717e-06
29	-15.7306	8.69678e-07
30	25.4527	5.3749e-07
31	-41.1834	3.32187e-07
32	66.6361	2.05303e-07
33	-107.819	1.26884e-07
34	174.456	7.84188e-08
35	-282.275	4.84655e-08
36	456.731	2.99533e-08
37	-739.006	1.85122e-08
38	1195.74	1.14411e-08
39	-1934.74	7.07102e-09
40	3130.48	4.37013e-09
41	-5065.22	2.70089e-09
42	8195.7	1.66924e-09
43	-13260.9	1.03165e-09
44	21456.6	6.37593e-10
